,Region,Country Name,HIV Treatment Rate 2018-2021,GNI per capita 2020 (USD),GDP growth 2020 (annual %),Adult literacy rate: Female: % ages 15 and older: 2013-22,GDP per capita grow(2020)
164,Europe & Central Asia,Romania,65,12710,-3.677510791,98.90000153,-3.145541561
165,Europe & Central Asia,Russian Federation,,10750,-2.653654501,99.92777252,-2.451026929
166,Sub-Saharan Africa,Rwanda,89,760,-3.373986332,73.3065745,-5.662297223
167,Middle East & North Africa,Saudi Arabia,,22420,-4.341387678,95.7800115,-4.79246757
168,Sub-Saharan Africa,Sudan,26.25,630,-3.629800824,60.6971817,-6.250228079
169,Sub-Saharan Africa,Senegal,73.5,1460,1.342073773,51.03497314,-1.342145925
170,East Asia & Pacific,Singapore,75.66666667,55260,-3.901053402,97.0372839,-3.600848086
171,East Asia & Pacific,Solomon Islands,,2340,-3.381116048,,-5.645371054
172,Sub-Saharan Africa,Sierra Leone,48.25,490,-1.968486891,40.53308487,-4.196551048
173,Latin America & Caribbean,El Salvador,54.25,3780,-7.878383783,88.49899292,-8.061580857
174,Europe & Central Asia,San Marino,,41450,-6.647910818,,-6.178501365
175,Sub-Saharan Africa,Somalia,43.75,410,2.489374346,41.02500153,-0.954716484
176,Europe & Central Asia,Serbia,63.75,7440,-0.903218502,99.16201782,-0.240923959
177,Sub-Saharan Africa,South Sudan,23.5,,,34.52275848,
178,Sub-Saharan Africa,Sao Tome and Principe,92.25,2100,3.024568211,93.75,1.119960636
179,Latin America & Caribbean,Suriname,50,4500,-15.97519639,95,-16.91141207
180,Europe & Central Asia,Slovak Republic,68,19180,-3.336244672,,-3.419117124
181,Europe & Central Asia,Slovenia,82.75,25400,-4.321369905,,-4.960040833
182,Europe & Central Asia,Sweden,,54830,-2.170213179,,-2.87468419
183,Sub-Saharan Africa,Eswatini,89.25,3360,-1.55964259,89.27999878,-2.480299705
184,Latin America & Caribbean,Sint Maarten (Dutch part),,27420,-16.5,,-17.88541716
185,Sub-Saharan Africa,Seychelles,,13450,-8.649206455,96.19999695,-9.425755928
186,Middle East & North Africa,Syrian Arab Republic,36.75,760,-3.873681686,86.30000305,-6.99424539
187,Latin America & Caribbean,Turks and Caicos Islands,,20270,-26.78287693,,-28.76064545
188,Sub-Saharan Africa,Chad,65.5,660,-1.600006737,25.19818052,-4.66133902
189,Sub-Saharan Africa,Togo,70.25,880,1.975742919,65.1413498,-0.433796943
190,East Asia & Pacific,Thailand,80.75,6920,-6.066925969,93.60953522,-6.287580891
191,Europe & Central Asia,Tajikistan,60,1050,4.4,,2.144186247
192,Europe & Central Asia,Turkmenistan,,,-3.4,,
193,East Asia & Pacific,Timor-Leste,44.25,2100,31.91448862,69.90000153,29.92997972
194,East Asia & Pacific,Tonga,,5200,0.488645323,99.40000153,0.19936359
195,Latin America & Caribbean,Trinidad and Tobago,66.25,13830,-7.678331177,,-7.568382946
196,Middle East & North Africa,Tunisia,26.25,3220,-8.817878767,81.29821396,-9.660661575
197,Europe & Central Asia,Turkiye,,9080,1.940032245,95.89296214,1.147943989
198,East Asia & Pacific,Tuvalu,,6470,-4.274831675,,-5.252060333
199,Sub-Saharan Africa,Tanzania,77.5,1050,1.991964606,79.95361328,-1.019582809
200,Sub-Saharan Africa,Uganda,80,820,2.951306422,78.55874634,-0.423316497
201,Europe & Central Asia,Ukraine,57.75,3570,-3.7528041,100,-3.101658589
202,Latin America & Caribbean,Uruguay,64.33333333,16080,-6.262976819,98.56786673,-6.281483198
203,North America,United States,,64650,-2.767802511,,-3.700952528
204,Europe & Central Asia,Uzbekistan,53,1770,1.995585078,99.99206829,0.053822233
205,Latin America & Caribbean,St. Vincent and the Grenadines,,8330,-3.739393087,,-3.470755412
206,Latin America & Caribbean,"Venezuela, RB",48,,,97.11076863,
207,Latin America & Caribbean,Virgin Islands (U.S.),,,-2.14700682,,-1.798090794
208,East Asia & Pacific,Viet Nam,67.5,,2.865411946,95.7538681,1.937355342
209,East Asia & Pacific,Vietnam,,3450,,,
210,East Asia & Pacific,Vanuatu,,3250,-4.992491429,86.89999771,-7.211878534
211,East Asia & Pacific,Samoa,,4000,-3.108444011,99.09999847,-4.471685199
212,Europe & Central Asia,Kosovo,,4440,-5.340275302,,-5.406637944
213,Middle East & North Africa,"Yemen, Rep.",29.25,,,,
214,Sub-Saharan Africa,South Africa,72.75,6090,-6.342471149,92.11576386,-7.481092762
215,Sub-Saharan Africa,Zambia,84.5,1130,-2.785055065,87.5,-5.59573306
216,Sub-Saharan Africa,Zimbabwe,87.75,1460,-7.816950647,89.27170944,-9.670404777
217,,British Virgin Islands,,,,,
